location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 26,2019-06-06,2019-06-10,Sofala,Beira,2,2,1,5,26
Facility 49,2019-06-09,2019-06-10,Sofala,Dondo,18,14,17,49,49
Facility 49,2019-06-08,2019-06-10,Sofala,Dondo,30,29,60,119,49
Facility 11,2019-06-09,2019-06-10,Sofala,Nhamatanda,2,0,0,2,11
Facility 3,2019-06-09,2019-06-10,Sofala,Dondo,0,0,0,0,3
Facility 18,2019-06-09,2019-06-09,Sofala,Beira,0,0,0,0,18
Facility 60,2019-06-08,2019-06-09,Sofala,Beira,0,1,1,2,60
Facility 42,2019-06-08,2019-06-09,Sofala,Dondo,18,4,14,36,42
Facility 18,2019-06-07,2019-06-09,Sofala,Beira,4,2,3,9,18
Facility 18,2019-06-08,2019-06-09,Sofala,Beira,0,0,0,0,18
Facility 36,2019-06-09,2019-06-09,Sofala,Dondo,0,0,0,0,36
Facility 21,2019-06-08,2019-06-09,Sofala,Beira,14,6,5,25,21
Facility 34,2019-06-09,2019-06-09,Sofala,Dondo,0,0,0,0,34
Facility 34,2019-06-08,2019-06-09,Sofala,Dondo,0,0,0,0,34
Facility 24,2019-06-08,2019-06-09,Sofala,Beira,12,20,30,62,24
